
Search Tree T:

Address   Features                             T_F    N_final
 0000396    0000000000000010001000000000000      0057     1
 0000397    0010000000000010000000000000000      0101     3
 0000398    0000000000010000000000100000000      1103     48
 0000399    0000000000000000010000110000000      0115     4
 0000400    0000000000000010010000001000000      0006     0
 0000401    1000000000000000000000100000000      1343     57
 0000402    0000000000100000000000000000010      0082     2
 0000403    0000100010000010000000000000000      0007     1
 0000404    0000000100000010000000010000000      0037     2
 0000405    0000000000000010000000011000000      0036     2
 0000406    0000000000000100000000011010000      0006     2
 0000407    0000001000000000010000100000000      0069     2
 0000408    0000000000000000000110110000000      0014     2
 0000409    0000000100000000000001000000000      0094     2
 0000410    0000000000000010000000000100000      0072     2
 0000411    0100000000001000000010000000000      0010     2
 0000412    0000000100000001000000000000000      0074     3
 0000413    0000000000000010000000010010000      0042     3
 0000414    0001100100000000000000000000000      0011     2
 0000415    0000110100000000000000000000000      0008     2
 0000416    1000000000000010000000100000000      0088     3
 0000417    0110000100000000000000000000000      0010     2
 0000418    0000000000100000000000000000100      0072     2
 0000419    0000000100000010000000000010000      0001     0
 0000420    0000000000100000000000100000000      1180     50
 0000421    0000000000000010001100000000000      0005     1
 0000422    0000000000000010000000001010000      0009     2
 0000423    0000001000100000000000000000010      0009     2
 0000424    0000000101000000000000000000000      0095     4
 0000425    0000001100000001000000000000000      0008     2
 0000426    0000001000000000000000100000000      1050     46
 0000427    0000000000000010000000100100000      0072     2
 0000428    0000100000100000000000000000000      0072     2
 0000429    0000000010000000001000000010000      0007     1
 0000430    0000000000000100000000100000000      0932     38
 0000431    0000000100000000010001000000000      0007     1
 0000432    0000000000100000000000010010000      0043     2
 0000433    0000000010000000000000010001000      0039     2
 0000434    0000000000100000000000100001000      0078     3
 0000435    0000000010000000000010010000000      0048     2
 0000436    0001000000100000000000000000000      0160     5
 0000437    0100000000100000000000000000000      0072     2
 0000438    0010000001000010000000000000000      0007     2
 0000439    0000000000100000010000000000000      0072     2
 0000440    1000000000100000000000000000000      0124     4
 0000441    0000000000000010000000100000000      0989     44
 0000442    0000000000100000000000010000100      0034     2
 0000443    0000000000100000000000110000000      0116     4
 0000444    0000000000100000100000000000000      0073     2
 0000445    0000000000000000010000001010000      0009     1
 0000446    0000000000000000000000100000010      1031     44
 0000447    0000000000000000000000100100000      1062     45
 0000448    0000001000000000000010100000000      0093     3
 0000449    0000000101000000000010000000000      0014     2
 0000450    0000000000100000001000000000000      0084     3
 0000451    0000100000100000000000000010000      0008     1
 0000452    0000000000100000000000100010000      0083     3
 0000453    0000000000000000000000000010000      0018     1
 0000454    0000000000000000001010010000000      0048     2
 0000455    0000000000000001000000100000000      1003     42
 0000456    0000000100000000000100000000000      0088     3
 0000457    0000000000000000000000100001000      1042     47
 0000458    0000000110000000000000000000000      0098     4
 0000459    1000000000010000000000000010000      0012     1
 0000460    0000000000000000000010100010000      0098     3
 0000461    1000000000101000000000000000000      0009     2
 0000462    0000000000000000010000000000100      0052     2
 0000463    0000000000001000000000100100000      0070     2
 0000464    0100000000000010000000100000000      0064     2
 0000465    0000000000000010000000100000010      0068     2
 0000466    0000000000100000101000000000000      0007     2
 0000467    0000000100100000000000010000000      0038     2
 0000468    0101000000100000000000000000000      0010     1
 0000469    0000000001000000000000100000000      1015     46
 0000470    0000100000000001000000000000000      0060     2
 0000471    0000000000100000000010010000000      0049     2
 0000472    0000000000100000000000011000000      0039     2
 0000473    0010000000100000000000000000000      0103     3
 0000474    0000000010100000010000000000000      0006     1
 0000475    0010000000100000001000000000000      0010     2
 0000476    0000000000000001000000100000010      0069     3
 0000477    0000000000000000001010000010000      0014     2
 0000478    0101100000100000000000000000000      0001     0
 0000479    1000000000000000001000000000000      0108     4
 0000480    0000000100000000000100000000100      0006     2
 0000481    0000000100100000000010000000000      0015     1
 0000482    0000000000000011000000010010000      0005     1
 0000483    0000010000000000101000000000000      0005     0
 0000484    0000000000000000001000100000000      0999     41
 0000485    0001000000000000001000000000000      0143     4
 0000486    0000000000100010000000000000000      0083     2
 0000487    0000000000100000000010001000000      0015     2
 0000488    0000000000000000001000000000010      0062     2
 0000489    0000000000000000000010111000000      0013     2
 0000490    0000010000100000000000000000000      0083     3
 0000491    0000000000000000001010100000000      0086     3
 0000492    0000000001100000000010010000000      0007     2
 0000493    0000000000100000000000000001000      0109     4
 0000494    0000000000000001001000000000000      0060     2
 0000495    0000000000000000001000110000000      0125     4
 0000496    0010000000100001000000000000000      0007     2
 0000497    0000000000000001000010000010000      0015     2
 0000498    0000000000100010000001000000000      0009     1
 0000499    1000001000000000001000000000000      0010     2
 0000500    0001000000000000001000000000010      0011     1
 0000501    0100000000000000000000100000000      1007     39
 0000502    0000000000101000000000000000000      0084     2
 0000503    0000000000000100001000011000000      0006     1
 0000504    0000001000000000001000000000000      0098     3
 0000505    0000000000000000000010010100000      0041     2
 0000506    0000000100000000010000000001000      0008     2
 0000507    0000010001100000000000000000000      0007     1
 0000508    0000110000000000010001000000000      0001     0
 0000509    0000000000100000000001000000000      0094     3
 0000510    0000000000000100001000100000000      0062     3
 0000511    0000000000110000000000000000000      0077     2
 0000512    0000000000000001001001000000000      0007     1
 0000513    0000000000100000001010000000000      0015     1
 0000514    0000000000000001000000110000000      0124     4
 0000515    0000000000100000001000100000000      0083     3
 0000516    0000000000100000001000010000000      0037     2
 0000517    0000000000000000001000001000010      0005     0
 0000518    0000000000100010000000000010000      0010     1
 0000519    0000000000000000001010001000000      0013     2
 0000520    0000000000000010100000000000010      0007     1
 0000521    0001000001000000000000100000000      0105     4
 0000522    0110000000000000000000100000000      0082     3
 0000523    0000001000100000000000000100000      0006     1
 0000524    1000001000000000101000000000000      0001     0
 0000525    0000000000101000100000000000000      0007     2
 0000526    0000010000000000001000000000000      0075     2
 0000527    0000000000000000011000010000000      0038     2
 0000528    0000000000100000000000010001000      0043     2
 0000529    0010000000000000001000000000000      0104     3
 0000530    1000000000000000000000010010000      0047     2
 0000531    0000000000000001000010100000000      0092     3
 0000532    0000000000000010000010100010000      0008     2
 0000533    0001000000000100000000000000000      0004     0
 0000534    0000000000100001000000000000000      0070     2
 0000535    0000000100000000001000010000000      0038     2
 0000536    0000000000000100000010000000000      0151     5
 0000537    0000000000100000000001000000010      0009     1
 0000538    0000000000000001000010010000000      0046     2
 0000539    0000000001000000001000000000000      0055     2
 0000540    0000000000110000000000000010000      0009     2
 0000541    0000000000001000001000000100000      0006     1
 0000542    0000000000000000100010001000000      0014     2
 0000543    0100000000000001000000000000000      0060     2
 0000544    0000000000000001000100001000000      0004     0
 0000545    0000100000000001000001000000000      0006     0
 0000546    0000010100000000000000000000100      0006     2
 0000547    0000000000000000001000110000100      0012     2
 0000548    0000000010000000000000100001000      0069     2
 0000549    0000000000000001001000010000000      0035     2
 0000550    0000001000000010000000000100000      0007     0
 0000551    0000000000000001010000000000000      0062     2
 0000552    1000000000000001000000000000000      0115     4
 0000553    0000000100000000001010000000000      0013     2
 0000554    0000000000000001000001000000000      0074     2
 0000555    0000000100010100000010000000000      0003     0
 0000556    0000000000000000001000000001000      0086     3
 0000557    0000000000001000001000010000000      0034     2
 0000558    0000000000100001000010010000000      0009     2
 0000559    0000000000000000100000110000000      0128     4
 0000560    0000000000000001000000011000000      0036     2
 0000561    0100000000000001000000000100000      0006     0
 0000562    0100000000100000000000010010000      0008     2
 0000563    0000000010100000000000000000000      0082     2
 0000564    0000000000100000101010000000000      0001     1
 0000565    0000000000000001000010000000000      0006     1
 0000566    1000000000000001000100000000000      0008     2
 0000567    0000000000000000000010001000010      0013     2
 0000568    1000000000100000000000010100000      0007     2
 0000569    0000000000000001001010000000000      0012     2
 0000570    1000000000000000000000110000000      0132     5
 0000571    0000000000100001000010000000000      0012     2
 0000572    0001000000110000000000000000000      0011     2
 0000573    0000001000100000000000000000000      0102     3
 0000574    0000000000000000001100000000000      0050     2
 0000575    0000010000000000001000000000000      0002     0
 0000576    0000000000100100000000010000000      0040     2
 0000577    0000100000000010000000011000000      0006     1
 0000578    0000000000000000100010100000000      0092     3
 0000579    0000000000000000001000010010000      0041     2
 0000580    0001000000000001000000000000000      0141     4
 0000581    0010000000000001001000000000000      0008     1
 0000582    0000000000100000000000010000010      0038     2
 0000583    0100000000010000000010010000000      0006     1
 0000584    0000000000000000001000000100000      0070     2
 0000585    1000001000100000000000000000000      0012     2
 0000586    0000000000000010000000000000010      0068     2
 0000587    1000000000000000000010100000000      0109     4
 0000588    0000100000000000001000000000000      0076     2
 0000589    1000000000000010000000000000000      0103     3
 0000590    0000000000000000001100001000000      0003     1
 0000591    0000000100000001000000010000000      0037     2
 0000592    0000000000100010000000010000000      0038     2
 0000593    1000000000000000000000011000000      0042     2
 0000594    0000000000000011000000000000000      0068     2
 0000595    0000000000001000000000100000000      1014     45
 0000596    0000000001000000001100000000000      0003     0
 0000597    0000000000100100000010000000000      0013     2
 0000598    0000000000010010000000000000000      0059     1
 0000599    0001000000000001010000000000000      0010     1
 0000600    0000000000100000000010000000010      0014     2
 0000601    0000000000000010000000110000000      0121     4
 0000602    0000000000000000101000010000000      0040     2
 0000603    0100100000000000001000000000000      0006     1
 0000604    0100001000000000000000010000000      0041     2
 0000605    0000001000000001000000000000000      0081     3
 0000606    0001000000000000001000000100000      0012     1
 0000607    0000000010001000000000100000000      0064     3
